id,suite,role,player,playerOS,enemy,enemyOS,iterations,playerWins,enemyWins,draws,decisive,decisiveWinRate,winRate,averageTurns,deadCardRatio,enemyDeadCardRatio,ftkCount,truncatedCount,firstMoverEdge,sideBias,inconclusive,redlines
gauntlet:control-overall,archetype-gauntlet,gauntlet-overall,control,,*registry*,,3200,127,3072,1,3199,0.0397,0.0397,5.95,0.134,0.1277,0,0,,,false,
gauntlet:control-overall:slot1,archetype-gauntlet,gauntlet-overall,control,,*registry*,,1600,51,1549,0,1600,0.0319,0.0319,6.07,0.1311,0.108,0,0,,,false,
gauntlet:control-overall:slot2,archetype-gauntlet,gauntlet-overall,control,,*registry*,,1600,76,1523,1,1599,0.0475,0.0475,5.83,0.1369,0.1505,0,0,,,false,
gauntlet:control-vs-audhumbla:audhumbla_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,audhumbla,audhumbla_v1,100,0,100,0,100,0,0,6.68,0.1,0.1133,0,0,0,1,false,
gauntlet:control-vs-audhumbla:audhumbla_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,audhumbla,audhumbla_v2,100,0,100,0,100,0,0,9.28,0.049,0.0178,0,0,0,1,false,
gauntlet:control-vs-draugr:draugr_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,draugr,draugr_v1,100,5,95,0,100,0.05,0.05,6.88,0.1,0.1745,0,0,-0.01,0.9,false,
gauntlet:control-vs-draugr:draugr_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,draugr,draugr_v2,100,0,100,0,100,0,0,7.87,0.104,0.113,0,0,0,1,false,
gauntlet:control-vs-fafnir:fafnir_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,fafnir,fafnir_v1,100,0,100,0,100,0,0,5.79,0.123,0.2064,0,0,0,1,false,
gauntlet:control-vs-fafnir:fafnir_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,fafnir,fafnir_v2,100,5,95,0,100,0.05,0.05,5.09,0.146,0.154,0,0,-0.01,0.9,false,
gauntlet:control-vs-fenrir:fenrir_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,fenrir,fenrir_v1,100,2,98,0,100,0.02,0.02,5.14,0.155,0.1944,0,0,0.02,0.96,false,
gauntlet:control-vs-fenrir:fenrir_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,fenrir,fenrir_v2,100,2,98,0,100,0.02,0.02,5.33,0.138,0.1933,0,0,0,0.96,false,
gauntlet:control-vs-gullinbursti:gullinbursti_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,gullinbursti,gullinbursti_v1,100,0,100,0,100,0,0,8.65,0.089,0.105,0,0,0,1,false,
gauntlet:control-vs-gullinbursti:gullinbursti_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,gullinbursti,gullinbursti_v2,100,1,99,0,100,0.01,0.01,7.77,0.1,0.09,0,0,0.01,0.98,false,
gauntlet:control-vs-hel:hel_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,hel,hel_v1,100,0,100,0,100,0,0,5.65,0.129,0.0964,0,0,0,1,false,
gauntlet:control-vs-hel:hel_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,hel,hel_v2,100,44,56,0,100,0.44,0.44,3.67,0.2128,0.118,0,0,-0.16,0.12,false,
gauntlet:control-vs-hraesvelgr:hraesvelgr_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,hraesvelgr,hraesvelgr_v1,100,20,80,0,100,0.2,0.2,4.67,0.1505,0.0105,0,0,-0.16,0.6,false,
gauntlet:control-vs-hraesvelgr:hraesvelgr_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,hraesvelgr,hraesvelgr_v2,100,0,100,0,100,0,0,4.57,0.177,0.335,0,0,0,1,false,
gauntlet:control-vs-huldra:huldra_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,huldra,huldra_v1,100,0,100,0,100,0,0,7.59,0.08,0.0244,0,0,0,1,false,
gauntlet:control-vs-huldra:huldra_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,huldra,huldra_v2,100,0,100,0,100,0,0,6.97,0.079,0.0289,0,0,0,1,false,
gauntlet:control-vs-jormungandr:jormungandr_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,jormungandr,jormungandr_v1,100,20,80,0,100,0.2,0.2,5.63,0.1157,0.0178,0,0,-0.04,0.6,false,
gauntlet:control-vs-jormungandr:jormungandr_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,jormungandr,jormungandr_v2,100,2,98,0,100,0.02,0.02,5.51,0.112,0.1013,0,0,-0.02,0.96,false,
gauntlet:control-vs-kraken:kraken_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,kraken,kraken_v1,100,0,100,0,100,0,0,4.84,0.17,0.22,0,0,0,1,false,
gauntlet:control-vs-kraken:kraken_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,kraken,kraken_v2,100,1,99,0,100,0.01,0.01,5.69,0.143,0.1888,0,0,-0.01,0.98,false,
gauntlet:control-vs-nidhoggr:nidhoggr_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,nidhoggr,nidhoggr_v1,100,0,100,0,100,0,0,4.93,0.1695,0.142,0,0,0,1,false,
gauntlet:control-vs-nidhoggr:nidhoggr_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,nidhoggr,nidhoggr_v2,100,0,100,0,100,0,0,5.86,0.114,0.095,0,0,0,1,false,
gauntlet:control-vs-ratatoskr:ratatoskr_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,ratatoskr,ratatoskr_v1,100,2,98,0,100,0.02,0.02,5.91,0.129,0.0429,0,0,-0.02,0.96,false,
gauntlet:control-vs-ratatoskr:ratatoskr_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,ratatoskr,ratatoskr_v2,100,0,100,0,100,0,0,4.55,0.1705,0.086,0,0,0,1,false,
gauntlet:control-vs-skoll:skoll_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,skoll,skoll_v1,100,0,100,0,100,0,0,4.13,0.203,0.2767,0,0,0,1,false,
gauntlet:control-vs-skoll:skoll_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,skoll,skoll_v2,100,19,80,1,99,0.1919,0.19,3.7,0.2042,0.3,0,0,0.0253,0.6167,false,
gauntlet:control-vs-sleipnir:sleipnir_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,sleipnir,sleipnir_v1,100,2,98,0,100,0.02,0.02,4.41,0.1873,0.125,0,0,0,0.96,false,
gauntlet:control-vs-sleipnir:sleipnir_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,sleipnir,sleipnir_v2,100,0,100,0,100,0,0,4.64,0.171,0.0969,0,0,0,1,false,
gauntlet:control-vs-valkyrie:valkyrie_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,valkyrie,valkyrie_v1,100,0,100,0,100,0,0,7.38,0.083,0.048,0,0,0,1,false,
gauntlet:control-vs-valkyrie:valkyrie_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,valkyrie,valkyrie_v2,100,0,100,0,100,0,0,5.57,0.12,0.0363,0,0,0,1,false,
gauntlet:control-vs-ymir:ymir_v1,archetype-gauntlet,gauntlet-matchup,control,control_v1,ymir,ymir_v1,100,0,100,0,100,0,0,8.84,0.115,0.098,0,0,0,1,false,
gauntlet:control-vs-ymir:ymir_v2,archetype-gauntlet,gauntlet-matchup,control,control_v1,ymir,ymir_v2,100,2,98,0,100,0.02,0.02,7.25,0.156,0.502,0,0,0.02,0.96,false,
mirror:audhumbla,mirror,mirror,audhumbla,audhumbla_v1,audhumbla,audhumbla_v1,400,219,181,0,400,0.5475,0.5475,9.66,0.0658,0.0725,0,0,0.1375,0.095,false,
mirror:audhumbla,mirror,mirror,audhumbla,audhumbla_v1,audhumbla,audhumbla_v1,400,219,181,0,400,0.5475,0.5475,9.66,0.0658,0.0725,0,0,0.1375,0.095,false,
mirror:draugr,mirror,mirror,draugr,draugr_v1,draugr,draugr_v1,400,197,203,0,400,0.4925,0.4925,6.42,0.2144,0.2125,0,0,-0.0675,0.015,false,
mirror:draugr,mirror,mirror,draugr,draugr_v1,draugr,draugr_v1,400,197,203,0,400,0.4925,0.4925,6.42,0.2144,0.2125,0,0,-0.0675,0.015,false,
mirror:fafnir,mirror,mirror,fafnir,fafnir_v1,fafnir,fafnir_v1,400,178,222,0,400,0.445,0.445,5.39,0.248,0.2589,0,0,0.12,0.11,false,
mirror:fafnir,mirror,mirror,fafnir,fafnir_v1,fafnir,fafnir_v1,400,178,222,0,400,0.445,0.445,5.39,0.248,0.2589,0,0,0.12,0.11,false,
mirror:fenrir,mirror,mirror,fenrir,fenrir_v1,fenrir,fenrir_v1,400,203,197,0,400,0.5075,0.5075,3.93,0.3308,0.3369,0,0,0.0575,0.015,false,
mirror:fenrir,mirror,mirror,fenrir,fenrir_v1,fenrir,fenrir_v1,400,203,197,0,400,0.5075,0.5075,3.93,0.3308,0.3369,0,0,0.0575,0.015,false,
mirror:gullinbursti,mirror,mirror,gullinbursti,gullinbursti_v1,gullinbursti,gullinbursti_v1,400,201,199,0,400,0.5025,0.5025,9.75,0.1123,0.1058,0,0,0.1225,0.005,false,
mirror:gullinbursti,mirror,mirror,gullinbursti,gullinbursti_v1,gullinbursti,gullinbursti_v1,400,201,199,0,400,0.5025,0.5025,9.75,0.1123,0.1058,0,0,0.1225,0.005,false,
mirror:hel,mirror,mirror,hel,hel_v1,hel,hel_v1,400,190,210,0,400,0.475,0.475,4.78,0.1664,0.1575,0,0,0.155,0.05,false,
mirror:hel,mirror,mirror,hel,hel_v1,hel,hel_v1,400,190,210,0,400,0.475,0.475,4.78,0.1664,0.1575,0,0,0.155,0.05,false,
mirror:hraesvelgr,mirror,mirror,hraesvelgr,hraesvelgr_v1,hraesvelgr,hraesvelgr_v1,400,204,196,0,400,0.51,0.51,2.7,0.0452,0.0499,0,0,-0.315,0.02,false,
mirror:hraesvelgr,mirror,mirror,hraesvelgr,hraesvelgr_v1,hraesvelgr,hraesvelgr_v1,400,204,196,0,400,0.51,0.51,2.7,0.0452,0.0499,0,0,-0.315,0.02,false,
mirror:huldra,mirror,mirror,huldra,huldra_v1,huldra,huldra_v1,400,188,196,16,384,0.4896,0.47,12.56,0.0336,0.0367,0,16,-0.0521,0.0208,false,
mirror:huldra,mirror,mirror,huldra,huldra_v1,huldra,huldra_v1,400,188,196,16,384,0.4896,0.47,12.56,0.0336,0.0367,0,16,-0.0521,0.0208,false,
