section,kind,subject,metric,value,threshold,comparison,detail
1.3,CARD_OVER_BUDGET,battle_rhythm,score,3.1,3,above,"Battle Rhythm (battle_rhythm) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,benediction,score,3.1,3,above,"Benediction (benediction) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,blind_spot,score,1.1,1,above,"Blind Spot (blind_spot) costs 0 energy and scores 1.1, 0.1 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,blood_rite,score,3.4,3,above,"Blood Rite (blood_rite) costs 1 energy and scores 3.4, 0.4 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,bloodlust,score,3.1,3,above,"Bloodlust (bloodlust) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,brute_force,score,3.1,3,above,"Brute Force (brute_force) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,capacitor,score,7.2,6.5,above,"Capacitor (capacitor) costs 2 energy and scores 7.2, 0.7 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,contagion,score,20.4,6.5,above,"Contagion (contagion) costs 2 energy and scores 20.4, 13.9 over the 6.5 budget for that cost. (score excludes unscored MULTIPLY_STATUS action(s) - actual value is at least this.)"
1.3,CARD_OVER_BUDGET,corrosive_leak,score,2.3,1,above,"Corrosive Leak (corrosive_leak) costs 0 energy and scores 2.3, 1.3 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,crimson_draw,score,4.1,3,above,"Crimson Draw (crimson_draw) costs 1 energy and scores 4.1, 1.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,dawn_of_creation,score,10.9,10.5,above,"Dawn of Creation (dawn_of_creation) costs 3 energy and scores 10.9, 0.4 over the 10.5 budget for that cost."
1.3,CARD_OVER_BUDGET,dread_tidings,score,3.2,3,above,"Dread Tidings (dread_tidings) costs 1 energy and scores 3.2, 0.2 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,entangle,score,12.1,10.5,above,"Entangle (entangle) costs 3 energy and scores 12.1, 1.6 over the 10.5 budget for that cost."
1.3,CARD_OVER_BUDGET,falling_star,score,3.6,3,above,"Falling Star (falling_star) costs 1 energy and scores 3.6, 0.6 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,fertile_ground_daemon,score,7.6,6.5,above,"FERTILE_GROUND (fertile_ground_daemon) costs 2 energy and scores 7.6, 1.1 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,fire_poke,score,3.1,3,above,"Fire Poke (fire_poke) costs 1 energy and scores 3.1, 0.1 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,frost_bite,score,3.3,3,above,"Frost Bite (frost_bite) costs 1 energy and scores 3.3, 0.3 over the 3 budget for that cost."
1.3,CARD_OVER_BUDGET,frost_ward,score,1.1,1,above,"Frost Ward (frost_ward) costs 0 energy and scores 1.1, 0.1 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,glacial_slam,score,7,6.5,above,"Glacial Slam (glacial_slam) costs 2 energy and scores 7, 0.5 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,glimmer,score,1.4,1,above,"Glimmer (glimmer) costs 0 energy and scores 1.4, 0.4 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,grit,score,1.1,1,above,"Grit (grit) costs 0 energy and scores 1.1, 0.1 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,hexbloom,score,16.5,6.5,above,"Hexbloom (hexbloom) costs 2 energy and scores 16.5, 10 over the 6.5 budget for that cost."
1.3,CARD_OVER_BUDGET,hoof_strike,score,1.4,1,above,"Hoof Strike (hoof_strike) costs 0 energy and scores 1.4, 0.4 over the 1 budget for that cost."
1.3,CARD_OVER_BUDGET,ink_stream,score,4.1,3,above,"Ink Stream (ink_stream) costs 1 energy and scores 4.1, 1.1 over the 3 budget for that cost."
